nr;naam;website;platform;redesign_score;actief_score;totaalscore;redesign_signalen;activiteit_signalen;advies
1;welkom bij klus&zo;https://klusenzo-nl.webnode.nl/;Webnode;84;95;89;gratis/builder-subdomein | builder-footer/branding | oud copyrightjaar | oude nieuws/template-tekst | oude template-elementen | klassieke homepage-opbouw;site bereikbaar | contactblok aanwezig | e-mailadres zichtbaar | telefoonnummer zichtbaar | zakelijke/operationele info | social/map-link aanwezig | bedrijf/zakelijk taalgebruik | offerte/aanvraag | brancheterm;Hot lead: eerst actief verifiëren, daarna benaderen
2;Catering Kleintjens;https://cateringkleintjens-nl.webnode.nl/;Webnode;84;90;87;gratis/builder-subdomein | builder-footer/branding | oud copyrightjaar | oude nieuws/template-tekst | oude template-elementen | klassieke homepage-opbouw;site bereikbaar | contactblok aanwezig | e-mailadres zichtbaar | telefoonnummer zichtbaar | zakelijke/operationele info | bedrijf/zakelijk taalgebruik | offerte/aanvraag | brancheterm;Hot lead: eerst actief verifiëren, daarna benaderen
3;Tip Top Schoon;https://tiptopschoon-groningen-nl.webnode.nl/;Webnode;84;90;87;gratis/builder-subdomein | builder-footer/branding | oud copyrightjaar | oude nieuws/template-tekst | oude template-elementen | klassieke homepage-opbouw;site bereikbaar | contactblok aanwezig | e-mailadres zichtbaar | telefoonnummer zichtbaar | zakelijke/operationele info | bedrijf/zakelijk taalgebruik | offerte/aanvraag | brancheterm;Hot lead: eerst actief verifiëren, daarna benaderen
4;Optimasafe;https://optimasafe5.webnode.nl/;Webnode;84;90;87;gratis/builder-subdomein | builder-footer/branding | oud copyrightjaar | oude nieuws/template-tekst | oude template-elementen | klassieke homepage-opbouw;site bereikbaar | contactblok aanwezig | e-mailadres zichtbaar | telefoonnummer zichtbaar | zakelijke/operationele info | bedrijf/zakelijk taalgebruik | offerte/aanvraag | brancheterm;Hot lead: eerst actief verifiëren, daarna benaderen
5;Haagclean Products Shop;https://haagclean-products-shop.webnode.nl/;Webnode;84;82;83;gratis/builder-subdomein | builder-footer/branding | oud copyrightjaar | oude nieuws/template-tekst | oude template-elementen | klassieke homepage-opbouw;site bereikbaar | contactblok aanwezig | telefoonnummer zichtbaar | zakelijke/operationele info | bedrijf/zakelijk taalgebruik | offerte/aanvraag | brancheterm;Hot lead: eerst actief verifiëren, daarna benaderen
6;www.herbersbestrating.nl;https://herbers-bestrating.webnode.nl/;Webnode;84;82;83;gratis/builder-subdomein | builder-footer/branding | oud copyrightjaar | oude nieuws/template-tekst | oude template-elementen | klassieke homepage-opbouw;site bereikbaar | contactblok aanwezig | telefoonnummer zichtbaar | zakelijke/operationele info | bedrijf/zakelijk taalgebruik | offerte/aanvraag | brancheterm;Hot lead: eerst actief verifiëren, daarna benaderen
7;Paarse limo: maakt ieder feest bijzonder;https://paarse-limo.webnode.nl/;Webnode;84;82;83;gratis/builder-subdomein | builder-footer/branding | oud copyrightjaar | oude nieuws/template-tekst | oude template-elementen | klassieke homepage-opbouw;site bereikbaar | contactblok aanwezig | telefoonnummer zichtbaar | zakelijke/operationele info | bedrijf/zakelijk taalgebruik | offerte/aanvraag | brancheterm;Hot lead: eerst actief verifiëren, daarna benaderen
8;Leenders Timmerwerk en Bouw;https://leenderstimmerwerk.webnode.nl/;Webnode;84;82;83;gratis/builder-subdomein | builder-footer/branding | oud copyrightjaar | oude nieuws/template-tekst | oude template-elementen | klassieke homepage-opbouw;site bereikbaar | contactblok aanwezig | telefoonnummer zichtbaar | zakelijke/operationele info | bedrijf/zakelijk taalgebruik | offerte/aanvraag | brancheterm;Hot lead: eerst actief verifiëren, daarna benaderen
9;XL party rent | feesttent | statafels | drive in show | zeeland | brabant;https://xl-party-rent.webnode.nl/;Webnode;84;82;83;gratis/builder-subdomein | builder-footer/branding | oud copyrightjaar | oude nieuws/template-tekst | oude template-elementen | klassieke homepage-opbouw;site bereikbaar | contactblok aanwezig | telefoonnummer zichtbaar | zakelijke/operationele info | bedrijf/zakelijk taalgebruik | offerte/aanvraag | brancheterm;Hot lead: eerst actief verifiëren, daarna benaderen
10;GeekEvents;https://geekevents.webnode.be/;Webnode;84;82;83;gratis/builder-subdomein | builder-footer/branding | oud copyrightjaar | oude nieuws/template-tekst | oude template-elementen | klassieke homepage-opbouw;site bereikbaar | contactblok aanwezig | telefoonnummer zichtbaar | zakelijke/operationele info | bedrijf/zakelijk taalgebruik | offerte/aanvraag | brancheterm;Hot lead: eerst actief verifiëren, daarna benaderen
11;Lammert Begeman;https://lammert-begeman.webnode.nl/;Webnode;84;82;83;gratis/builder-subdomein | builder-footer/branding | oud copyrightjaar | oude nieuws/template-tekst | oude template-elementen | klassieke homepage-opbouw;site bereikbaar | contactblok aanwezig | telefoonnummer zichtbaar | zakelijke/operationele info | bedrijf/zakelijk taalgebruik | offerte/aanvraag | brancheterm;Hot lead: eerst actief verifiëren, daarna benaderen
12;ARTRENT;https://artrent.webnode.nl/;Webnode;84;80;82;gratis/builder-subdomein | builder-footer/branding | oud copyrightjaar | oude nieuws/template-tekst | oude template-elementen | klassieke homepage-opbouw;site bereikbaar | contactblok aanwezig | e-mailadres zichtbaar | telefoonnummer zichtbaar | zakelijke/operationele info | bedrijf/zakelijk taalgebruik | brancheterm;Hot lead: eerst actief verifiëren, daarna benaderen
13;Versmarkt Martine;https://versmarktmartine-be.webnode.be/;Webnode;64;100;80;gratis/builder-subdomein | builder-footer/branding | oud copyrightjaar | oude template-elementen | klassieke homepage-opbouw;site bereikbaar | recent jaartal op site | contactblok aanwezig | e-mailadres zichtbaar | telefoonnummer zichtbaar | zakelijke/operationele info | social/map-link aanwezig | bedrijf/zakelijk taalgebruik | offerte/aanvraag | brancheterm;Hot lead: eerst actief verifiëren, daarna benaderen
